roma_sum_cs,CS_ha,Annual
7750,18.9875,17.9671168647
6407,15.69715,18.0402226018
5632,13.7984,17.9521850634
3995,9.78775,17.9362320532
5452,13.3574,17.9818843844
6766,16.5767,18.0301727918
3580,8.771,18.1120260142
8526,20.8887,18.0694105009
5062,12.4019,18.0519956562
5173,12.67385,18.1037697114
795,1.94775,18.2553945066
1860,4.557,17.981263261
2438,5.9731,18.185224523
26089,63.91805,18.4553764854
13294,32.5703,18.6196738641
20615,50.50675,18.8131529043
20171,49.41895,19.1246929356
22552,55.2524,19.275633458
22950,56.2275,19.05050619
17704,43.3748,18.5173872816
3119,7.64155,17.8512285622
964,2.3618,17.2361042463
449,1.10005,16.8873398607
42,0.1029,16.9057834524
1581,3.87345,17.1346021959
7985,19.56325,17.381870371
1022,2.5039,17.6430345241
1597,3.91265,17.8363924689
13193,32.32285,17.9324724612
11827,28.97615,18.0197979102
4721,11.56645,18.0292546885
4289,10.50805,17.945508942
4492,11.0054,17.9783899271
2253,5.51985,18.0781296357
1140,2.793,18.13798015
3459,8.47455,18.0879872886
3309,8.10705,18.1046884827
1738,4.2581,18.1257285508
2716,6.6542,18.1015907604
3871,9.48395,17.9769197734
10521,25.77645,18.1348599631
20337,49.82565,18.2362707349
11325,27.74625,18.1113878111
2399,5.87755,18.145014409
5114,12.5293,18.6313915364
17500,42.875,18.9345882769
16230,39.7635,18.7566858084
10197,24.98265,18.235982414
2343,5.74035,17.5689965465
458,1.1221,16.9346763711
441,1.08045,16.5010266016
289,0.70805,16.3607545172
983,2.40835,16.4537482783
3082,7.5509,16.7075279063
314,0.7693,17.0731653506
3721,9.11645,17.4252050767
7719,18.91155,17.6760004699
7827,19.17615,17.8249291311
2823,6.91635,17.9259071738
761,1.86445,17.9826510688
1479,3.62355,18.0598229414
2897,7.09765,18.1231306016
4688,11.4856,18.1607252861
2253,5.51985,18.1340612984
4738,11.6081,18.1441997629
2641,6.47045,18.1758025546
1424,3.4888,18.0328608895
1197,2.93265,17.979647389
4167,10.20915,17.5314357475
4676,11.4562,17.7573771133
6230,15.2635,17.8789676348
3524,8.6338,17.9956415645
6217,15.23165,18.0886395777
11820,28.959,17.9267018809
12819,31.40655,17.9585866041
13220,32.389,18.4125239213
15260,37.387,18.7151264245
18362,44.9869,18.6717329716
22851,55.98495,18.2747401691
8683,21.27335,17.6711268556
978,2.3961,17.153754147
994,2.4353,16.6829186816
650,1.5925,16.3641263448
357,0.87465,16.2974981257
3466,8.4917,16.444247631
1013,2.48185,16.6848361817
1842,4.5129,17.0212155027
1971,4.82895,17.2745788249
2818,6.9041,17.5323445466
3318,8.1291,17.7422070293
3675,9.00375,17.8860272315
1101,2.69745,17.9367857578
2376,5.8212,18.0183553334
1034,2.5333,18.1204324152
818,2.0041,18.115193113
2866,7.0217,18.0309077006
2815,6.89675,18.0743367246
1079,2.64355,18.1412841285
1079,2.64355,18.1412841285
9918,24.2991,17.6243916348
2035,4.98575,17.3934238876
3675,9.00375,17.1928868412
5117,12.53665,17.4161284019
8424,20.6388,17.8704005004
20801,50.96245,18.1897956496
24196,59.2802,18.3038023645
20791,50.93795,18.0507484021
9963,24.40935,17.386373449
1115,2.73175,16.7835077645
1426,3.4937,16.5644573306
295,0.72275,16.5980283776
1194,2.9253,16.696811366
335,0.82075,16.6991263917
1197,2.93265,16.8313654596
2171,5.31895,16.9178090325
3660,8.967,17.0204947097
1691,4.14295,17.2397560776
3385,8.29325,17.5488194913
2684,6.5758,17.7235026803
220,0.539,17.8665148448
4084,10.0058,18.0195694839
2338,5.7281,18.0640340622
4297,10.52765,17.9696196896
3204,7.8498,17.8847910756
1339,3.28055,17.9638418676
912,2.2344,18.148115714
2881,7.05845,18.2739105784
2203,5.39735,16.7290027319
875,2.14375,16.4982471369
2763,6.76935,16.6185094045
6897,16.89765,16.8988441155
10438,25.5731,17.169964036
17017,41.69165,17.4591388795
11597,28.41265,17.4337868074
3413,8.36185,16.8791099209
925,2.26625,16.4924624428
474,1.1613,16.4712588094
200,0.49,16.6494814159
871,2.13395,17.0241924858
975,2.38875,17.2260238838
1136,2.7832,17.2871603923
884,2.1658,17.0752471323
1065,2.60925,17.0154934445
2226,5.4537,17.1366972653
705,1.72725,17.4245658316
4320,10.584,17.6236533702
3740,9.163,17.7773335944
3776,9.2512,17.9089164592
953,2.33485,17.9575133159
240,0.588,17.9534939633
367,0.89915,18.0418166818
2009,4.92205,18.2081104109
3345,8.19525,18.4147461603
2783,6.81835,16.2321463347
367,0.89915,18.0418166818
367,0.89915,18.0418166818
4253,10.41985,16.4053478548
3035,7.43575,16.3434645843
414,1.0143,16.1905378899
469,1.14905,16.153896152
367,0.89915,18.0418166818
581,1.42345,16.5076654109
3690,9.0405,17.0301723928
9777,23.95365,17.5072971491
17490,42.8505,17.5946741868
531,1.30095,17.3766462611
681,1.66845,17.2152036722
1323,3.24135,17.2180889912
2128,5.2136,17.3224552259
1617,3.96165,17.4984753952
2388,5.8506,17.6545002577
3510,8.5995,17.8117314246
1821,4.46145,17.9327555434
1286,3.1507,18.0373792983
747,1.83015,18.3236173072
898,2.2001,18.7194994725
14333,35.11585,18.8388502861
10982,26.9059,18.7254610183
453,1.10985,15.7643884016
551,1.34995,16.0075202898
174,0.4263,16.1511873969
208,0.5096,16.3634130632
969,2.37405,16.7513299173
2314,5.6693,17.2123069894
3176,7.7812,17.4799522745
2710,6.6395,17.5564218914
1540,3.773,17.5932377257
789,1.93305,17.5949391635
480,1.176,17.6505487684
652,1.5974,17.8197355307
816,1.9992,17.8748690838
2729,6.68605,17.94722119
1189,2.91305,18.0665338768
19418,47.5741,18.6582887942
6658,16.3121,18.8585630576
293,0.71785,15.7959335404
217,0.53165,15.9068721416
513,1.25685,16.1397590999
543,1.33035,16.5773409151
1032,2.5284,17.1293768978
859,2.10455,17.5398489513
377,0.92365,17.7488567673
1655,4.05475,17.9142030102
1074,2.6313,18.0881280806
258,0.6321,18.2858539237
369,0.90405,18.389272306
755,1.84975,18.3572291198
6284,15.3958,18.8647906592
252,0.6174,15.530345957
252,0.6174,15.530345957
252,0.6174,15.530345957
544,1.3328,15.5366174183
345,0.84525,16.1028895121
417,1.02165,16.7921492868
852,2.0874,17.4457791882
280,0.686,15.6139556624
550,1.3475,16.2047754302
