roma_sum_cs,CS_ha,Annual
1112,2.7244,17.4256560458
259,0.63455,17.3630093168
2348,5.7526,17.264625247
507,1.24215,17.2443083952
1172,2.8714,17.3541579978
876,2.1462,17.5429096379
2356,5.7722,17.5833256251
2979,7.29855,17.5958298337
5675,13.90375,17.6490114007
7052,17.2774,17.6495053138
2988,7.3206,17.5372195044
2245,5.50025,17.4227146592
1802,4.4149,17.3338479579
4640,11.368,17.3614858768
4109,10.06705,17.4556566537
4332,10.6134,17.6906501396
2867,7.02415,17.9740960508
4162,10.1969,18.2065463572
15093,36.97785,18.5112920322
13411,32.85695,18.5752472494
913,2.23685,18.4192821263
11964,29.3118,18.1530508463
3883,9.51335,17.8372117025
1680,4.116,17.7871273804
2239,5.48555,17.9191932589
740,1.813,17.8995354907
1872,4.5864,17.8243246973
649,1.59005,17.7474835292
33,0.08085,17.7981438606
1107,2.71215,17.376797613
729,1.78605,17.2670780544
1011,2.47695,17.3697379734
1013,2.48185,17.5174998474
355,0.86975,17.4138272464
502,1.2299,17.3015777237
374,0.9163,17.3365212879
426,1.0437,17.3710318029
335,0.82075,17.4245004405
2683,6.57335,17.4013621092
3158,7.7371,17.4506490385
941,2.30545,17.5559780561
2147,5.26015,17.6298731538
6380,15.631,17.7044142909
13299,32.58255,17.6910435644
8064,19.7568,17.689889976
3436,8.4182,17.6997257366
2167,5.30915,17.6880953151
3866,9.4717,17.8432372263
1254,3.0723,18.0713711061
5452,13.3574,18.2709720348
13172,32.2714,18.5328833268
15704,38.4748,18.7363482625
14304,35.0448,18.6785768809
17816,43.6492,18.4410848703
5215,12.77675,18.1393999756
2399,5.87755,17.976089111
5156,12.6322,17.9966314056
9486,23.2407,18.0043001902
962,2.3569,18.0733704453
431,1.05595,18.1614069576
718,1.7591,18.1056911643
227,0.55615,18.175018392
2459,6.02455,18.2680374213
527,1.29115,17.4489704844
1061,2.59945,17.3309893939
1523,3.73135,17.4028015344
1410,3.4545,17.488167387
536,1.3132,17.2812967013
1926,4.7187,17.1287607674
180,0.441,17.1244013111
167,0.40915,17.2414690874
1539,3.77055,17.4158970376
1592,3.9004,17.4261405149
777,1.90365,17.4670630436
556,1.3622,17.4693134278
738,1.8081,17.5311788686
2258,5.5321,17.7016746092
6831,16.73595,17.8089459861
7760,19.012,17.8309394915
11241,27.54045,17.8862343492
13805,33.82225,17.8776450508
5166,12.6567,17.8603528921
2706,6.6297,17.8666836998
5641,13.82045,18.0207583127
2330,5.7085,18.2532755567
13920,34.104,18.588746509
10601,25.97245,18.8124958764
22479,55.07355,18.7834155936
9821,24.06145,18.6722335386
15399,37.72755,18.5675805968
10791,26.43795,18.4127757629
14602,35.7749,18.297975754
3367,8.24915,18.3167130989
631,1.54595,18.3785147872
1787,4.37815,18.3103834673
183,0.44835,18.2109418344
1445,3.54025,18.2450952635
501,1.22745,17.2694764402
1103,2.70235,17.1459505943
1963,4.80935,17.0620387474
542,1.3279,17.1220117568
703,1.72235,17.2261565874
1695,4.15275,17.345146316
2214,5.4243,17.3728598506
3222,7.8939,17.4672401222
2645,6.48025,17.5671144006
1947,4.77015,17.8817616959
6173,15.12385,18.1891092883
16399,40.17755,18.0047024713
3174,7.7763,17.7837350052
2471,6.05395,17.7380681605
16411,40.20695,17.8581733581
18187,44.55815,17.9095212457
7340,17.983,17.7810864635
2419,5.92655,17.9104244921
6422,15.7339,18.1824820297
11450,28.0525,18.5235056558
20657,50.60965,18.9373325274
15623,38.27635,19.1992087223
11781,28.86345,19.1913288396
20021,49.05145,18.9301786016
14967,36.66915,18.6137055078
5869,14.37905,18.3621398461
1356,3.3222,18.3467637476
827,2.02615,18.4926934792
1137,2.78565,18.6185374963
5981,14.65345,18.5345041898
1849,4.53005,18.3433842479
1297,3.17765,17.0703732522
1366,3.3467,17.171685785
1699,4.16255,17.2680775088
2240,5.488,17.2988911086
5663,13.87435,17.3847537346
1323,3.24135,17.5429653762
6314,15.4693,17.8979606669
18314,44.8693,18.200587068
15351,37.60995,18.3133038827
12685,31.07825,18.253742198
7035,17.23575,18.2509436385
1767,4.32915,18.1301857475
2988,7.3206,18.0746848056
13371,32.75895,18.0231194707
6439,15.77555,18.1936971904
5744,14.0728,18.414281728
17754,43.4973,18.5000065836
3002,7.3549,18.5900613145
21122,51.7489,19.1275517085
16122,39.4989,19.5648679525
19562,47.9269,19.5336390154
18482,45.2809,19.4107226299
24283,59.49335,19.1630037065
8204,20.0998,18.8617103389
11400,27.93,18.793888111
11020,26.999,18.7666116781
3303,8.09235,18.6897925336
5549,13.59505,18.5274243936
5591,13.69795,18.3821182113
1942,4.7579,18.3755640356
1725,4.22625,18.4123495551
402,0.9849,17.1826040027
59,0.14455,17.2143950555
8305,20.34725,17.2982855844
1775,4.34875,17.2872167398
1613,3.95185,17.3051732831
5595,13.70775,17.3733555209
9590,23.4955,17.6018971875
14422,35.3339,17.9079902815
24376,59.7212,18.1106702888
3824,9.3688,18.1901858178
2766,6.7767,18.4657857484
16300,39.935,18.7689593174
20968,51.3716,18.8159286437
16733,40.99585,18.6886200611
11008,26.9696,18.5661455756
20767,50.87915,18.8258328179
28627,70.13615,18.9766424876
17354,42.5173,18.949695958
9560,23.422,18.8943073596
18364,44.9918,19.076203446
21451,52.55495,19.3968613876
30132,73.8234,19.5589935007
25649,62.84005,19.4794124166
26119,63.99155,19.4126388186
22275,54.57375,19.3350343708
16551,40.54995,19.2803376631
14179,34.73855,19.2764184801
11694,28.6503,19.0742318001
18299,44.83255,19.0095689243
1251,3.06495,19.0060424633
12319,30.18155,19.0829102939
11258,27.5821,19.0954445669
950,2.3275,17.3431373707
736,1.8032,17.3603741659
478,1.1711,17.3824810926
3592,8.8004,17.4492450845
4474,10.9613,17.5317211164
3856,9.4472,17.5207348834
4527,11.09115,17.6266360446
8515,20.86175,17.8101196066
10995,26.93775,18.0210825508
11754,28.7973,18.2560679075
8797,21.55265,18.524572181
3748,9.1826,18.8690395159
24132,59.1234,19.1500749269
